amenity	cuisine	takeaway	name	brand
fast_food	burger		Reload	
fast_food	burger		Reno	
fast_food	burger		RICO Burger	
fast_food	burger		Rivera	
fast_food	burger		Rodeo Burger	
fast_food	burger		Rojo Smash Burger	
fast_food	burger		Rookies	
fast_food	burger		Roquez Smash	
fast_food	burger		Rousse Food Fusion	
fast_food	burger		RRA	
fast_food	burger		Ruben's Food	
fast_food	burger		Ruta 13	
fast_food	burger		Sail Thru Burgers	
fast_food	burger		Salsa	
fast_food	burger		Salvaje American Diner	
fast_food	burger		Samoa	
fast_food	burger		Sancho Casual Burguer	
fast_food	burger;sandwich		Baetulo 561	
fast_food	burger;sandwich		Bocata	
fast_food	burger;sandwich		Brooklyn Burguer&Beer	
fast_food	burger;sandwich		Ca'Fartón	
fast_food	burger;sandwich;coffee_shop;crepe;smoothie;dessert	yes	Avocado Mallorca	
fast_food	burger;sandwich		Five Guys	
fast_food	burger;sandwich		Frankfurt Baetulo I	
fast_food	burger;sandwich		Frankfurt Sant Andreu	
fast_food	burger;sandwich;grill;friture;steak_house;pizza;chicken;spanish;diner;kebab;italian_pizza		Asados Gloria	
fast_food	burger;sandwich;grill;sausage;argentinian;local;american;steak_house;chicken;spanish;mexican;barbecue		BBQ Express ®	
fast_food	burger;sandwich		HDH - Hambre de Hamburguesa	
fast_food	burger;sandwich;hot_dog		Dados 2	
fast_food	burger;sandwich;hot_dog		Oskar Burger	
fast_food	burger;sandwich		iPan	
fast_food	burger;sandwich;kebab;chicken		Asador Don Pollo	
fast_food	burger;sandwich		Krunch	
fast_food	burger;sandwich;regional;mediterranean		Bar JALOMI	
fast_food	burger;sandwich;sausage		Chispito Burguer	
fast_food	burger;sandwich;sausage		Frankfurt	
fast_food	burger;sandwich	yes	Bocatería Gustavo	
fast_food	burger;sandwich	yes	Burguer Copos	
fast_food	burger;sandwich	yes	deleite bocadillos premium	
fast_food	burger;sandwich	yes	Hamburguesería O Pobo	
fast_food	burger;sandwich	yes	Mucca	
fast_food	burger		San Telmo	
fast_food	burger;sausage;breakfast		El Perro Lechero	
fast_food	burger		Sharky	
fast_food	burger		Simon's Santa Lucía	
fast_food	burger		Smash	
fast_food	burger		Smash'd	
fast_food	burger		Smash & Go Brunch & Burgers	
fast_food	burger;steak_house;chicken;spanish;diner;friture		Asador de pollos.	
fast_food	burger		Steak 'n Shake	
fast_food	burger		Sublime Dreams food	
fast_food	burger		Superbestia	
fast_food	burger		Super Bestia	
fast_food	burger		Surfer’s Buger	
fast_food	burger		Tafi	
fast_food	burger		TakeAway Boufarik	
fast_food	burger;tapas		La Entrada	
